"cod_master","jan_prod","fev_prod","mar_prod","abr_prod","mai_prod","jun_prod","jul_prod"
"10809",31754.51,10356.51,7460.31,8550.03,,2154.87,14129.96
"11384",54242.81,21147.23,61504.81,61873.28,26917.96,31591.61,54698.90
"12275",,,,,,1338.51,7769.27
"10380",109723.17,91226.84,55888.72,71839.60,67195.13,47984.36,75823.44
"11127",165641.18,89737.13,162388.99,142300.09,129580.81,110376.53,135643.58
"12042",,7365.04,30948.73,31145.37,18660.15,21115.97,26632.96
"12316",,,,,,13343.28,17746.72
"0328.01",24519.44,22864.08,26347.44,13301.34,9927.51,19255.27,12112.35
"7349",736.94,,533.40,195.80,1943.22,1968.04,3327.23
"8070",221447.28,187138.81,246645.55,147646.02,108863.85,118140.86,119720.38
"7335",37446.63,14266.84,38000.95,14627.22,11353.99,5237.73,7951.03
"7778",9786.84,4771.44,14803.54,8948.71,4147.16,8947.43,9146.84
"8027",8344.59,5962.33,25982.85,16823.78,21746.80,11575.18,7819.49
"8102",4328.60,3803.30,8118.48,720.84,4138.08,8082.52,
"8173",11076.01,12176.71,9186.86,22062.80,16119.56,16906.47,18916.14
"12465",,,,,,,1295.78
"8422",8235.08,13562.22,18647.63,86242.81,31228.52,17354.09,39082.82
"7070",,,434.44,216.65,,,
"0530",36862.96,13253.00,43658.05,28676.72,23200.72,23796.55,33606.45
"10133",4385.39,519.76,2043.48,645.40,4188.15,3293.17,985.53
"10776",39539.13,48464.33,28499.11,36464.45,38063.00,18084.04,17875.95
"11217",,,,,,,247526.11
"10106",103618.29,129557.33,87579.81,139304.42,86631.47,48486.28,122628.62
"10002",82770.98,47257.86,100793.06,62689.51,64519.30,58015.44,70425.05
"11449",13888.82,6248.62,17584.12,15635.51,7607.87,27635.09,12662.22
"11299",142242.21,70653.67,89829.58,85256.66,92836.40,67127.20,104259.23
"7708",6185.44,2313.18,7395.06,2288.90,10240.50,4287.18,2532.61
"0120",2205.28,935.29,,,904.76,,753.73
"12307",,,,,,105.37,2709.89
"10171",58109.48,24266.38,34087.10,24512.44,14017.44,24454.63,26733.00
"11987",,,362.39,,,,
"10656",2846.38,1328.46,1329.83,497.08,2322.93,3431.25,2299.88
"11462",41665.39,47130.34,33605.31,20388.59,13354.46,10922.58,11876.73
"12122",,,798.91,,,,
"12318",,,,,,138047.08,134211.49
"10848",423.86,1693.97,3348.35,1205.57,2012.06,1486.87,395.01
"11959",12932.37,19774.16,52029.68,23511.71,33365.27,38122.60,42867.15
"7883",12148.42,1135.83,6665.16,5738.16,2552.55,3678.29,2465.48
"7574",8291.46,15494.26,9777.04,26919.70,39117.33,8899.83,20608.72
"10866",,42894.02,9017.50,7457.31,13256.25,5872.56,8300.17
"7088",,162.30,,388.41,3509.62,,2412.52
"11856",,,,,,3218.11,
"10429",46962.52,27953.48,32883.48,35493.98,21306.35,42848.15,29290.24
"10104",63465.31,26908.62,43596.97,41291.53,26187.03,28509.98,51063.21
"12207",,,,,1487.88,29360.00,47764.09
"12067",,535.27,7285.40,3039.35,4159.73,14898.29,2387.54
"10973",6286.58,7287.35,5203.06,6011.63,11450.11,5254.01,5565.53
"11877",7914.22,5338.28,19447.44,5644.66,6936.20,6375.80,8813.26
"10813",5539.09,1088.74,7779.45,1964.50,4698.19,776.69,4675.13
"7433",10182.86,1849.88,,2873.37,2628.15,4224.35,
"12109",,,5187.78,20313.54,8678.48,9868.09,16669.09
"8298",6466.82,11511.80,4788.02,5754.39,2126.64,3017.15,3094.73
"10156",35734.50,23177.72,27120.73,22777.27,19508.22,18447.07,17847.02
"11008",4410.62,13680.19,2986.81,547.72,741.54,794.37,1368.88
"12408",,,,,,,1461.98
"11275",48288.18,24385.04,50561.89,31143.87,26846.09,14517.18,20973.28
"10985",269134.53,130038.55,239703.78,161725.61,166400.33,149403.56,209478.23
"7203",10252.40,1540.44,4376.36,943.78,388.54,312.14,1684.98
"10407",13931.36,3424.77,12829.21,18467.26,24007.53,10428.10,10021.25
"11817",460579.91,387454.56,653038.34,473232.30,491108.40,388707.15,587643.66
"0731",11112.43,2996.61,4353.91,1107.01,8232.59,3736.61,7974.02
"0496",4496.35,557.59,4414.96,,,,157.64
"12213",,,,469.65,,,1192.66
"12270",,,,,5191.19,2112.58,5039.83
"0925",10931.61,9293.32,11301.95,7633.33,9549.77,7663.97,8885.83
"11282",63720.93,57992.14,67679.85,56545.03,44294.12,40878.31,48378.08
"10051",2512.41,9126.03,8701.84,3985.76,7308.57,14268.04,10488.66
"12014",,44978.17,27897.71,31764.18,38412.22,17647.57,30736.15
"11056",3718.18,1767.59,1329.06,541.97,7696.54,532.84,275.60
