"cod_master","produzido","frequencia"
"11462",23648.32,88
"10002",37508.77,204
"10968",5882.42,23
"7325",26983.37,31
"10648",144598.00,741
"10272",7584.59,19
"11101",855.33,7
"10770",7925.68,30
"10850",16949.15,85
"8343",1507.24,2
"10952",333.22,2
"7364",41582.03,156
"7547",3931.54,3
"7161",962.72,3
"10460",538.62,4
"11299",47804.95,146
"10724",6566.12,50
"11295",84.50,1
"0653",292716.46,292
"7529",6664.01,31
"8306",128183.65,624
"10138",5997.00,15
"10967",10061.03,41
"11166",18512.94,36
"11376",10400.61,8
"7704",40413.36,151
"11377",1097.15,4
"11006",9109.69,76
"11410",33939.13,55
"11417",487.30,3
"0314",627.71,4
"11014",10831.66,44
"11426",379.36,2
"7762",14525.96,15
"11441",770.87,2
"7481",131972.51,401
"10709",20041.02,113
"11486",95.39,1
"10816",7137.75,36
"11464",2477.71,3
"0448",59081.24,136
"11554",5425.15,4
"11458",4666.16,6
"11039",435.18,1
"8027",15287.81,108
"10106",34987.21,78
"10429",24903.75,70
"11198",7038.85,19
"7695",26239.15,34
"10341",20790.97,11
"11294",1599.80,7
"7733",32157.26,40
"7520",69255.81,369
"7925",31177.74,171
"10711",162.92,3
"0480",11578.55,61
"11290",899.25,5
"7632",2000.81,18
"11335",16027.31,73
"10724",4281.29,31
"10939",9949.92,47
"7108",115.33,1
"10272",10560.06,19
"1014",19165.95,90
"7507",11033.76,64
"10924",116.59,1
"0593",619.80,1
"11192",22379.99,101
"11416",7536.89,13
"10777",8089.87,7
"10254",823.08,1
"7410",58346.13,4
"11306",3410.87,17
"7766",2497.67,24
"8365",2560.24,5
"1026",3242.28,9
"7436",11002.59,44
"10167",78108.57,492
"7678",10841.12,50
"8301",62147.01,222
"11554",2137.23,13
"7723",22311.55,75
"11459",9496.92,12
"10121",9911.27,13
"11531",514.86,6
"11369",110349.72,349
"11030",4224.68,13
"11501",2411.51,2
"10299",5093.28,13
"10064",2983.23,7
"8204",30105.14,49
"7788",11451.45,57
"10051",4726.80,25
"10765",20650.05,140
