"cod_master","junho","julho","agosto"
"11139",1,0,1
"7687",1,0,0
"10776",30,20,32
"7708",23,29,35
"7883",58,33,47
"7574",27,27,17
"8298",2,11,6
"10496",103,31,39
"0589",20,9,16
"10175",0,1,2
"11494",0,0,8
"10372",19,5,5
"10568",80,105,142
"8034",38,54,54
"10992",14,0,2
"11452",0,0,4
"7308",214,230,323
"11095",314,269,325
"7594",1,1,0
"10635",95,63,101
"7888",6,7,0
"7348",9,8,6
"0984",0,0,10
"11293",2,2,0
"0434",2,2,6
"7378",1,0,2
"11276",11,19,14
"11464",0,0,6
"8204",80,57,176
"8024",67,54,88
"10807",212,221,304
"0876",8,9,7
"7624",10,3,8
"11435",0,0,4
"1056",0,3,0
"10341",2,4,6
"8271",33,42,33
"11368",0,3,16
"11024",65,21,70
"10342",1,0,2
"10839",27,24,22
"7933",5,6,10
"7858",2,4,13
"11114",1,2,0
"7165",198,194,67
"0118",17,18,14
"10800",7,11,14
"11354",0,1,4
"11423",0,0,4
"7481",626,624,889
"7313",454,587,499
"10793",76,74,83
"0451",0,0,6
"11197",54,46,64
"0111",0,0,14
"8361",1,0,0
"11272",25,8,12
"10586",26,10,15
"10955",9,3,2
"11463",0,0,2
"7528",13,13,53
"8221",4,0,0
"0622",10,2,0
"7692",2,8,12
"11195",0,0,7
"8190",7,2,2
"11327",0,1,0
"8115",1,0,0
"0049",3,5,3
"10751",46,52,79
"11365",0,5,7
"10948",0,15,24
"11088",1,1,0
"10811",2,0,1
"11006",84,83,142
"0555",8,7,20
"10181",69,85,84
"7394",6,4,4
"11376",0,1,17
"0488",29,30,38
"10281",1,7,8
"0221",28,39,40
"0413",100,105,138
"10310",14,32,18
"11286",0,11,0
"10571",1,1,0
"11059",3022,2556,5729
"10430",21,31,19
"7430",8,1,0
"7746",1,1,1
"10777",12,13,12
"10925",0,1,4
"7923",6,9,12
"7474",1,2,0
"8366",213,97,106
"8091",5,5,4
"11386",0,0,28
"10127",77,25,25
"8203",20,13,28
"10220",20,18,31
"10061",608,716,831
"10525",29,0,0
"10048",1,0,0
"10679",20,34,59
"1042",5,8,3
"11378",0,1,0
"7529",146,141,155
"11094",67,36,71
"10726",20,41,51
"11306",1,27,17
"7274",1,1,0
"11125",18,18,27
"0158",14,7,15
"7485",46,60,65
"11324",0,30,14
"11184",1,3,1
"10442.01",737,769,135
"11356",0,10,3
"0725",3,3,11
"11089",8,10,7
"10041",1,1,0
"10398",50,50,75
"11016",342,402,558
"7547",1,0,0
"11414",0,0,21
"11500",0,0,1
"10019",50,110,150
"10791",109,124,100
"0423",3,5,5
"8263",53,48,31
"8408",0,1,6
"7329",16,8,15
"8012",3,6,6
"7220",33,26,17
"7525",13,23,37
"11247",459,335,112
"11309",0,1,11
"7462",37,28,23
"7560.01",8594,9326,11981
"7338",18,7,19
"0738",1,3,1
"7706",8,4,4
"7174",0,0,4
"11217",238,153,137
"10656",5,5,10
"11462",0,0,15
"7188",5,0,0
"7426",11,1,0
"11282",48,131,243
"7213",2,2,2
"8341",2,0,4
"8234",20,10,27
"8096",2,2,4
"10890",5,7,3
"0443",1,1,1
"11019",29,27,32
"10774",4,16,3
"7517",14,15,14
"11434",0,0,24
"11148",4,5,6
