"cod_master","jan_prod","jan_freq","fev_prod","fev_freq","mar_prod","mar_freq","abr_prod","abr_freq","mai_prod","mai_freq","jun_prod","jul_freq","jul_prod"
"",188.20,1,,0,,0,,0,,0,,0,164.91
"00001",,0,,0,,0,112.98,1,,0,,0,
"0002",2830.59,2,,0,4168.09,6,2929.58,2,1074.27,4,823.93,3,381.95
"0049",2623.84,3,2329.63,4,5854.28,5,975.54,6,3612.54,5,515.09,4,954.40
"0056",26748.01,136,18617.59,71,69833.78,168,46151.73,203,25595.92,139,44337.01,160,49116.28
"0063",15112.02,72,3099.26,16,17264.48,92,13010.69,76,10506.85,58,11061.40,54,15028.77
"0111",1548.99,6,3025.76,5,2902.19,14,1864.82,9,733.20,5,1501.53,9,3790.87
"0113",5936.76,11,2900.33,2,11842.79,8,2698.13,10,2642.08,10,4571.81,15,782.27
"0118",653.82,1,,0,,0,,0,,0,,0,
"0119",1334.66,4,,0,,0,,0,,0,291.84,1,271.16
"0120",172.56,1,143.64,1,,0,,0,,0,,0,144.06
"0122",7527.43,12,234.38,1,2495.60,10,9541.58,17,4536.73,12,4063.23,15,3960.79
"0140",1878.35,3,764.81,1,247.27,2,,0,77.50,1,554.27,2,67.21
"0145",2212.19,3,,0,1618.04,5,114.41,1,,0,1450.13,4,2672.48
"0152",,0,,0,,0,,0,1958.18,3,1971.74,4,743.69
"0158",9661.34,17,7737.18,12,8574.08,17,12066.48,18,12175.74,24,6790.01,22,8600.13
"0221",2474.34,12,3111.28,13,2412.37,15,5765.53,15,9225.99,19,4471.69,23,2849.81
"0231",8488.28,26,6397.26,14,7669.62,36,5880.77,30,1620.15,10,4668.93,31,6499.36
"0235",3284.15,6,1523.40,1,238.60,1,,0,,0,,0,
"0248",21274.64,62,,0,14647.86,75,506.97,6,315.89,2,13865.11,70,1781.24
"0258",27264.27,48,17181.40,24,16920.23,47,7028.60,35,13466.95,47,18681.27,46,13661.62
"0261",,0,,0,,0,,0,298.99,2,,0,
"0291",1316.50,8,1102.52,3,,0,269.59,3,,0,,0,
"0307",10955.94,31,1136.35,6,2134.73,6,7063.67,8,150.51,1,259.91,1,178.49
"0308",,0,,0,283.24,1,,0,,0,,0,
"0314",178.72,1,,0,,0,,0,,0,,0,
"0315",2376.78,3,412.16,1,503.97,2,2804.83,3,1616.08,3,150.01,1,
"0328",26373.94,88,3898.34,19,7068.21,8,11844.28,8,844.72,4,12177.70,4,1366.89
"0328.01",1699.39,8,3970.95,13,5631.98,19,4564.09,18,1067.91,6,3058.01,15,3202.22
"0343",836.93,4,271.17,2,1501.00,3,,0,,0,,0,408.12
"0353",5585.67,2,207.65,1,644.41,1,303.14,1,913.00,2,764.43,1,10311.29
"0367",1080.04,4,692.75,1,894.95,3,443.22,3,,0,538.11,2,100.69
"0374",1099.03,1,881.75,1,,0,,0,,0,,0,236.08
"0380",598.38,2,123.08,1,,0,203.47,1,,0,,0,
"0383",22333.51,32,15493.15,18,30873.57,26,10408.34,12,,0,,0,
"0386",1713.06,1,,0,,0,,0,,0,,0,
"0396",,0,,0,,0,,0,,0,,0,2441.38
"0413",8590.10,29,7075.87,24,6500.64,33,8109.53,47,10571.50,34,9584.48,40,11659.18
"0423",,0,,0,,0,,0,2593.85,1,,0,
"0434",289.83,1,,0,225.68,3,505.98,2,239.02,2,86.05,1,451.46
"0446",5571.84,20,6010.51,12,7846.31,25,5008.87,20,4364.16,14,3034.09,19,4149.72
"0448",17665.88,49,9948.55,34,16962.09,73,19879.83,74,26166.95,65,26636.14,63,13018.46
"0451",,0,,0,,0,,0,,0,,0,6551.98
"0452",76.30,1,515.47,2,132.21,1,1582.79,2,116.56,1,,0,198.88
"0457",1480.33,7,2261.84,6,2315.98,12,2430.38,11,1694.32,13,14530.49,15,1643.72
"0473",380.59,2,552.53,3,497.90,3,265.10,2,,0,298.97,2,171.40
"0480",20375.72,57,12819.26,44,17275.77,60,12831.43,60,8345.36,46,8332.35,49,7857.79
"0488",3342.57,12,935.11,8,1074.19,6,1047.26,8,866.60,8,654.03,6,798.80
"0492",8233.48,18,1280.99,6,5959.06,19,7231.94,17,5793.81,8,3129.54,14,7776.57
"0496",1575.57,1,557.59,1,,0,,0,,0,,0,157.64
"0520",,0,4241.95,3,3336.94,2,3075.07,4,2742.65,4,4619.57,4,1352.26
"0522",587.73,3,286.12,2,521.48,4,258.99,2,285.39,2,307.36,2,634.89
"0530",19332.26,101,4331.67,27,14235.03,100,11303.94,91,11332.87,73,14463.95,92,18446.61
"0545",4140.71,14,11053.80,11,19314.21,46,8695.83,34,4639.18,20,6045.30,28,5169.27
"0546",4508.92,16,,0,,0,,0,,0,,0,
"0547",3407.05,6,,0,676.43,5,5099.39,8,318.09,2,569.79,3,470.53
"0555",2817.69,8,,0,1496.90,4,,0,961.21,3,,0,172.43
"0562",4357.29,8,301.20,2,1353.69,4,3016.54,2,580.44,2,3124.91,3,
