"cod_master","mes","produzido","frequencia"
"",1,188.20,1
"",7,164.91,1
"00001",4,112.98,1
"0002",1,2830.59,2
"0002",3,4168.09,6
"0002",4,2929.58,2
"0002",5,1074.27,4
"0002",6,823.93,3
"0002",7,381.95,2
"0049",1,2623.84,3
"0049",2,2329.63,4
"0049",3,5854.28,5
"0049",4,975.54,6
"0049",5,3612.54,5
"0049",6,515.09,4
"0049",7,954.40,5
"0056",1,26748.01,136
"0056",2,18617.59,71
"0056",3,69833.78,168
"0056",4,46151.73,203
"0056",5,25595.92,139
"0056",6,44337.01,160
"0056",7,56466.62,208
"0063",1,15112.02,72
"0063",2,3099.26,16
"0063",3,17264.48,92
"0063",4,13010.69,76
"0063",5,10506.85,58
"0063",6,11061.40,54
"0063",7,15028.77,60
"0111",1,1548.99,6
"0111",2,3025.76,5
"0111",3,2902.19,14
"0111",4,1864.82,9
"0111",5,733.20,5
"0111",6,1501.53,9
"0111",7,3867.68,17
"0113",1,5936.76,11
"0113",2,2900.33,2
"0113",3,11842.79,8
"0113",4,2698.13,10
"0113",5,2642.08,10
"0113",6,4571.81,15
"0113",7,3152.30,7
"0118",1,653.82,1
"0119",1,1334.66,4
"0119",6,291.84,1
"0119",7,271.16,1
"0120",1,172.56,1
"0120",2,143.64,1
"0120",7,144.06,1
"0122",1,7527.43,12
"0122",2,234.38,1
"0122",3,2495.60,10
"0122",4,9541.58,17
"0122",5,4536.73,12
"0122",6,4063.23,15
"0122",7,3960.79,15
"0140",1,1878.35,3
"0140",2,764.81,1
"0140",3,247.27,2
"0140",5,77.50,1
"0140",6,554.27,2
"0140",7,481.86,3
"0145",1,2212.19,3
"0145",3,1618.04,5
"0145",4,114.41,1
"0145",6,1450.13,4
"0145",7,2672.48,5
"0152",5,1958.18,3
"0152",6,1971.74,4
"0152",7,743.69,2
"0158",1,9661.34,17
"0158",2,7737.18,12
"0158",3,8574.08,17
"0158",4,12066.48,18
"0158",5,12175.74,24
"0158",6,6790.01,22
"0158",7,8600.13,28
"0221",1,2474.34,12
"0221",2,3111.28,13
"0221",3,2412.37,15
"0221",4,5765.53,15
"0221",5,9225.99,19
"0221",6,4471.69,23
"0221",7,2849.81,12
"0231",1,8488.28,26
"0231",2,6397.26,14
"0231",3,7669.62,36
"0231",4,5880.77,30
"0231",5,1620.15,10
"0231",6,4668.93,31
"0231",7,6499.36,28
"0235",1,3284.15,6
"0235",2,1523.40,1
"0235",3,238.60,1
"0248",1,21274.64,62
"0248",3,14647.86,75
"0248",4,506.97,6
"0248",5,315.89,2
"0248",6,13865.11,70
"0248",7,2581.24,13
"0258",1,27264.27,48
"0258",2,17181.40,24
"0258",3,16920.23,47
"0258",4,7028.60,35
"0258",5,13466.95,47
"0258",6,18681.27,46
"0258",7,15747.47,39
"0258",12,141.54,1
